kunta_nimi,ikaryhma,etuus,oppilaitosaste,saaja_lkm,maksettu_eur
Akaa,16-19,Opintoraha,Yliopistot,18,1 722
Akaa,16-19,Opintoraha ja asumislisä yhteensä,Yliopistot,18,1 722
Akaa,16-19,Yhteensä,Yliopistot,18,1 722
Akaa,20-24,Opintoraha,Ammattikorkeakoulut,568,229 963
Akaa,20-24,Opintoraha,Yliopistot,112,59 964
Akaa,20-24,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,568,231 223
Akaa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,112,64 584
Akaa,20-24,Yhteensä,Ammattikorkeakoulut,640,231 223
Akaa,20-24,Yhteensä,Yliopistot,156,68 289
Akaa,25-29,Opintoraha,Ammattikorkeakoulut,326,196 237
Akaa,25-29,Opintoraha,Yliopistot,42,11 641
Akaa,25-29,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,326,196 237
Akaa,25-29,Opintoraha ja asumislisä yhteensä,Yliopistot,42,12 481
Akaa,25-29,Yhteensä,Ammattikorkeakoulut,360,196 237
Akaa,25-29,Yhteensä,Yliopistot,60,14 501
Akaa,30-34,Opintoraha,Ammattikorkeakoulut,182,126 055
Akaa,30-34,Opintoraha,Yliopistot,10,20 753
Akaa,30-34,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,182,126 055
Akaa,30-34,Opintoraha ja asumislisä yhteensä,Yliopistot,10,20 753
Akaa,30-34,Yhteensä,Ammattikorkeakoulut,190,126 055
Akaa,30-34,Yhteensä,Yliopistot,30,25 239
Akaa,35-39,Opintoraha,Ammattikorkeakoulut,144,102 559
Akaa,35-39,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,144,102 559
Akaa,35-39,Yhteensä,Ammattikorkeakoulut,168,104 794
Akaa,40-44,Opintoraha,Ammattikorkeakoulut,40,20 632
Akaa,40-44,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,40,20 632
Akaa,40-44,Yhteensä,Ammattikorkeakoulut,54,22 874
Akaa,45-49,Opintoraha,Ammattikorkeakoulut,8,14 475
Akaa,45-49,Opintoraha ja asumislisä yhteensä,Ammattikorkeakoulut,8,14 475
Akaa,45-49,Yhteensä,Ammattikorkeakoulut,8,14 475
